file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,class,9,11,2,9,8,2,0,7,3,0.33333334,0.2,0.2,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,27,2,0,2,0,0,1,0,2,0,1,1,0,0,0,30,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\JMinecraftVersionList.java,net.kdt.pojavlaunch.JMinecraftVersionList$FileProperties,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,class,12,13,1,12,56,2,0,46,163,0.90789473,0.03809524,0.03809524,19,3,15,4,0,0,15,0,0,0,4,4,0,4,0,0,4,0,24,212,18,4,12,3,0,20,7,56,15,45,4,0,0,0,186,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\ActionRow.java,net.kdt.pojavlaunch.customcontrols.handleview.ActionRow,class,15,19,4,15,25,2,0,26,0,0.7160494,0.16666667,0.16666667,9,0,4,5,0,0,4,0,0,0,9,5,6,3,0,0,8,0,0,100,11,2,11,0,6,0,20,20,17,14,1,1,0,0,85,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\profiles\VersionSelectorListener.java,net.kdt.pojavlaunch.profiles.VersionSelectorListener,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\objectoriented\PojavLauncher\jre_lwjgl3glfw\src\main\java\net\java\openjdk\cacio\ctc\InfdevGrabHandler.java,net.java.openjdk.cacio.ctc.InfdevGrabHandler,class,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\objectoriented\PojavLauncher\jre_lwjgl3glfw\src\main\java\android\util\MapCollections.java,android.util.MapCollections$EntrySet,innerclass,5,5,0,5,25,1,0,16,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,70,11,3,4,0,4,0,10,10,1,9,2,0,0,0,50,16,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\CustomControlsActivity.java,net.kdt.pojavlaunch.CustomControlsActivity,class,14,14,0,14,12,3,0,32,1,0.5555556,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,1,69,0,0,0,2,0,2,7,7,0,12,3,0,0,2,46,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\modloaders\modpacks\models\ModrinthIndex.java,net.kdt.pojavlaunch.modloaders.modpacks.models.ModrinthIndex$ModrinthIndexFile,innerclass,4,4,0,4,1,1,0,1,0,0.2,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,1,24,1,0,0,0,0,5,0,0,2,5,0,0,2,0,13,9,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\prefs\screens\LauncherPreferenceExperimentalFragment.java,net.kdt.pojavlaunch.prefs.screens.LauncherPreferenceExperimentalFragment,class,2,2,0,2,1,3,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\utils\MCOptionUtils.java,net.kdt.pojavlaunch.utils.MCOptionUtils$MCOptionListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\LwjglGlfwKeycode.java,net.kdt.pojavlaunch.LwjglGlfwKeycode,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,11,0,0,13,0,0,0,0,0,1,137,142,0,142,0,0,0,0,111,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\value\DependentLibrary.java,net.kdt.pojavlaunch.value.DependentLibrary$LibraryDownloads,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,9,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\com\kdt\DefocusableScrollView.java,com.kdt.DefocusableScrollView,class,4,6,2,4,8,2,0,1,15,0.5714286,0.14285715,0.14285715,7,0,6,0,1,0,7,0,0,0,1,0,0,1,0,0,0,0,0,25,3,0,0,0,0,0,1,2,0,1,1,0,0,0,49,1,0
D:\objectoriented\PojavLauncher\forge_installer\src\main\java\git\artdeell\installer_agent\MainWindowFilter.java,git.artdeell.installer_agent.MainWindowFilter,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\modloaders\modpacks\ModItemAdapter.java,net.kdt.pojavlaunch.modloaders.modpacks.ModItemAdapter$SearchApiTask,innerclass,8,8,0,8,12,1,0,9,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,3,55,3,0,9,0,0,1,6,14,2,7,3,0,0,1,43,2,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\ControlData.java,net.kdt.pojavlaunch.customcontrols.ControlData,class,9,25,16,9,39,1,1,26,113,0.8960575,0.33333334,0.5194805,27,7,21,6,0,0,22,0,0,0,28,13,22,6,0,0,9,0,26,183,10,2,5,0,0,59,34,42,5,37,2,2,0,0,164,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\MissingStorageActivity.java,net.kdt.pojavlaunch.MissingStorageActivity,class,2,4,2,2,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\prefs\screens\LauncherPreferenceControlFragment.java,net.kdt.pojavlaunch.prefs.screens.LauncherPreferenceControlFragment,class,8,9,1,8,4,3,0,12,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,60,0,0,2,0,4,21,17,18,3,17,1,0,0,0,53,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\mouse\AbstractTouchpad.java,net.kdt.pojavlaunch.customcontrols.mouse.AbstractTouchpad,interface,1,4,3,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\colorselector\HueView.java,net.kdt.pojavlaunch.colorselector.HueView,class,13,15,2,13,10,2,0,14,3,0.68253976,0.42857143,1.0,7,0,4,0,3,0,7,0,0,0,9,0,0,9,0,0,1,0,1,55,1,1,2,0,0,1,14,16,7,14,1,0,0,0,44,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\LauncherActivity.java,net.kdt.pojavlaunch.LauncherActivity,class,38,43,5,38,44,3,0,82,104,0.9013158,0.13333334,0.33333334,16,0,5,6,5,0,10,0,0,0,18,1,2,16,0,0,9,0,21,202,18,0,12,0,2,10,3,30,0,47,4,1,0,13,139,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\mouse\PointerTracker.java,net.kdt.pojavlaunch.customcontrols.mouse.PointerTracker,class,3,6,3,3,7,1,0,6,0,0.45833334,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,5,0,0,5,0,0,1,0,0,35,2,0,2,0,0,0,6,17,2,10,1,0,0,0,25,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\multirt\Runtime.java,net.kdt.pojavlaunch.multirt.Runtime,class,1,11,10,1,7,1,0,3,0,0.375,1.0,1.0,4,0,3,0,0,1,4,0,0,0,4,0,4,0,0,0,4,0,1,27,4,0,3,0,0,0,1,9,0,5,1,0,0,0,18,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\colorselector\ColorSelector.java,net.kdt.pojavlaunch.colorselector.ColorSelector,class,18,21,3,18,21,1,0,31,82,0.84375,0.16190477,0.42857143,16,1,13,1,2,0,15,0,0,0,14,1,0,14,0,0,10,0,2,106,2,0,1,1,3,1,23,27,2,16,2,0,0,0,106,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\GyroControl.java,net.kdt.pojavlaunch.GyroControl$OrientationCorrectionListener,innerclass,2,2,0,2,19,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,1,0,2,0,19,12,0,0,2,0,0,0,23,0,0
D:\objectoriented\PojavLauncher\jre_lwjgl3glfw\src\main\java\android\util\MapCollections.java,android.util.MapCollections$MapIterator,innerclass,4,4,0,4,20,1,0,10,0,0.36666667,0.8,0.8,10,0,9,0,0,1,10,0,3,0,3,0,0,0,0,3,0,0,2,65,9,0,2,0,3,6,10,8,2,6,1,0,0,0,45,16,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\prefs\CustomSeekBarPreference.java,net.kdt.pojavlaunch.prefs.CustomSeekBarPreference,class,10,15,5,10,11,2,0,17,30,0.77777785,0.035714287,0.035714287,9,0,8,1,0,0,8,0,0,0,3,0,0,3,0,0,0,0,1,66,0,0,1,0,0,4,2,8,0,6,1,1,0,0,59,1,0
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\progresskeeper\ProgressState.java,net.kdt.pojavlaunch.progresskeeper.ProgressState,class,0,1,1,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,1,0
D:\objectoriented\PojavLauncher\jre_lwjgl3glfw\src\main\java\org\lwjgl\glfw\GLFWWindowProperties.java,org.lwjgl.glfw.GLFWWindowProperties,class,0,1,1,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,10,0,0,0,0,19,1,0
